SalePrice,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,SaleCondition,SaleType,KitchenQual,BsmtQual,ExterQual,MSZoning
193500,6,1968,1968,576.0,896,1182,2142,2,8,1,509,Normal,WD,Gd,Gd,TA,RL
153500,5,1998,1998,443.0,1237,1337,1337,2,5,2,405,Normal,WD,TA,Ex,TA,RM
245000,5,2007,2007,468.0,1563,1563,1563,2,6,3,758,Normal,WD,Gd,Gd,TA,RL
126500,5,1960,1960,66.0,1065,1065,1065,1,6,2,461,Normal,COD,TA,TA,TA,RL
168500,5,1995,1996,22.0,384,804,1474,2,7,2,400,Normal,WD,TA,Gd,TA,RL
260000,5,1991,1992,284.0,1288,1301,2417,2,9,2,462,Normal,WD,Gd,Gd,Gd,RL
174000,5,2005,2005,0.0,684,684,1560,2,6,2,400,Normal,WD,Gd,Gd,Gd,RL
164500,5,2009,2009,76.0,612,612,1224,2,4,2,528,Partial,New,Gd,Gd,Gd,FV
85000,2,1915,1982,0.0,1013,1013,1526,1,6,0,0,Abnorml,ConLD,Fa,TA,Fa,C (all)
123600,5,1994,1995,0.0,990,990,990,1,5,0,0,Normal,WD,TA,Gd,TA,RL
109900,5,1950,1950,0.0,0,1040,1040,1,4,2,420,Normal,WD,TA,None,TA,RL
98600,3,1961,1961,203.0,1235,1235,1235,1,6,2,480,Abnorml,WD,TA,TA,TA,RL
163500,7,1921,2006,0.0,876,964,964,1,5,2,432,Normal,WD,TA,Gd,TA,RL
133900,6,1910,1998,0.0,1214,1260,2291,2,9,2,506,Normal,WD,TA,TA,TA,C (all)
204750,5,1997,1997,0.0,824,905,1786,2,7,2,684,Normal,WD,Gd,Gd,TA,RL
185000,8,1993,1993,68.0,680,680,1470,2,6,2,420,Normal,WD,TA,Gd,Ex,RL
214000,5,1999,1999,183.0,1588,1588,1588,2,6,2,472,Normal,WD,Gd,Gd,Gd,RL
94750,5,1965,1965,48.0,960,960,960,1,6,1,432,Normal,WD,TA,TA,TA,RL
83000,5,1920,1950,0.0,458,835,835,1,5,1,366,Abnorml,COD,TA,TA,TA,RL
128950,5,1959,1959,0.0,950,1225,1225,1,6,0,0,Normal,WD,TA,TA,TA,RL
205000,7,1977,2001,28.0,1610,1610,1610,2,6,2,480,Normal,WD,Gd,TA,TA,RL
178000,5,1985,1985,336.0,741,977,1732,2,7,2,476,Normal,WD,Gd,Gd,Gd,RL
118964,5,1979,1979,0.0,0,1535,1535,2,8,2,410,Alloca,WD,TA,None,TA,RL
198900,5,2009,2009,0.0,1226,1226,1226,2,6,3,740,Normal,WD,Gd,Gd,TA,RL
169500,4,1931,1950,600.0,1040,1226,1818,1,7,1,240,Normal,WD,TA,TA,TA,RM
250000,5,2003,2004,768.0,1053,1053,1992,2,9,2,648,Normal,WD,Gd,Ex,Gd,FV
100000,7,1885,1995,0.0,641,1047,1047,1,6,1,273,Normal,WD,TA,Fa,TA,RM
115000,5,1948,1950,0.0,789,789,789,1,5,1,250,Partial,WD,TA,TA,TA,RM
115000,7,1919,2005,0.0,793,997,1517,2,7,0,0,Normal,WD,Fa,TA,TA,RM
190000,6,1977,1977,480.0,1844,1844,1844,2,7,2,546,Normal,COD,TA,Gd,TA,RL
136900,4,1954,1972,0.0,994,1216,1855,2,7,1,325,Normal,WD,TA,TA,TA,RL
180000,5,2000,2000,0.0,384,774,1430,2,7,2,400,Normal,WD,TA,Gd,TA,RL
383970,5,2007,2007,220.0,1264,1282,2696,2,10,3,792,Partial,New,Ex,Ex,Gd,RL
217000,5,1953,1953,184.0,1809,2259,2259,2,7,2,450,Abnorml,COD,Gd,Gd,TA,RL
259500,8,1945,2002,0.0,1028,1436,2320,2,9,1,180,Normal,WD,Gd,TA,TA,RL
176000,5,1999,1999,1129.0,729,729,1458,2,5,2,440,Normal,WD,TA,Gd,TA,FV
139000,5,1962,1962,116.0,1092,1092,1092,1,6,1,288,Normal,WD,TA,TA,TA,RL
155000,5,2006,2007,0.0,1125,1125,1125,1,5,2,430,Partial,New,TA,Gd,TA,RL
320000,5,1990,1990,0.0,1673,1699,3222,3,11,3,594,Normal,WD,Gd,Gd,TA,RL
163990,5,2005,2006,0.0,728,728,1456,2,8,2,390,Partial,New,Gd,Gd,Gd,RL
180000,5,1969,1969,0.0,938,988,988,1,4,2,540,Normal,WD,TA,TA,TA,RL
100000,5,1939,1950,0.0,732,772,1123,1,4,1,264,Normal,WD,TA,TA,TA,RM
136000,7,1958,1958,135.0,1080,1080,1080,1,5,1,288,Normal,WD,TA,TA,TA,RL
153900,5,1993,1993,0.0,1199,1199,1199,2,5,2,530,Normal,WD,Gd,Gd,Gd,RL
181000,5,1979,1998,0.0,1362,1586,1586,2,7,2,435,Normal,WD,TA,Gd,TA,RL
84500,8,1935,1982,0.0,520,520,754,1,5,0,0,Normal,WD,TA,TA,TA,RM
128000,5,1976,1976,0.0,1078,958,958,2,5,2,440,Normal,WD,TA,Gd,TA,RL
87000,7,1930,1950,0.0,672,840,840,1,5,0,0,Normal,WD,TA,TA,TA,RM
155000,5,1966,1966,266.0,660,660,1348,1,6,2,453,Normal,WD,TA,TA,TA,RL
150000,7,1958,1991,85.0,1008,1053,1053,1,6,2,750,Abnorml,WD,Ex,TA,TA,RL
226000,6,1966,1966,309.0,924,1216,2157,2,8,2,487,Normal,WD,Gd,TA,TA,RL
244000,5,2000,2000,40.0,992,1022,2054,2,7,2,390,Normal,WD,Gd,Gd,Gd,RL
150750,6,1959,2002,0.0,1063,1327,1327,1,7,2,624,Normal,WD,Gd,TA,TA,RL
220000,5,2001,2002,136.0,1267,1296,1296,2,6,2,471,Normal,WD,Gd,Ex,Gd,RL
180000,6,1968,1993,0.0,1461,1721,1721,2,7,2,440,Normal,WD,TA,TA,TA,RL
174000,6,1970,1970,288.0,1304,1682,1682,2,7,2,530,Normal,WD,TA,TA,TA,RL
143000,5,1967,1967,196.0,1214,1214,1214,2,5,1,318,Normal,WD,TA,TA,TA,RL
171000,5,1988,1989,70.0,1907,1959,1959,3,9,3,766,Family,WD,TA,TA,TA,RL
230000,5,1999,2000,320.0,1004,1004,1852,2,7,3,660,Normal,WD,Gd,Gd,Gd,RL
231500,5,1997,1997,0.0,928,928,1764,2,7,2,470,Normal,WD,Gd,Gd,TA,RL
115000,5,1971,1971,0.0,864,864,864,1,5,0,0,Normal,ConLI,TA,TA,TA,RL
260000,5,2005,2005,0.0,1734,1734,1734,2,7,2,660,Normal,WD,Gd,Gd,Gd,RL
166000,4,1952,1952,0.0,910,910,1385,2,6,2,720,Normal,WD,TA,TA,TA,RL
204000,5,1999,1999,183.0,1490,1501,1501,2,6,2,577,Normal,WD,Gd,Gd,Gd,RL
125000,5,1963,1963,336.0,1728,1728,1728,2,10,2,504,Abnorml,ConLI,TA,TA,TA,RM
130000,5,2004,2006,50.0,970,970,1709,2,7,2,380,Normal,WD,Gd,Gd,Gd,RM
105000,7,1931,1993,0.0,715,875,875,1,5,1,180,Normal,WD,TA,TA,TA,RM
222500,5,2001,2001,180.0,884,884,2035,2,8,2,434,Normal,WD,Gd,Gd,Gd,RL
141000,5,2004,2005,120.0,1080,1080,1080,1,6,0,0,Normal,WD,Gd,Gd,TA,RL
115000,4,1936,1950,0.0,896,896,1344,1,7,1,240,Normal,WD,TA,Gd,TA,RM
122000,6,1975,1975,0.0,969,969,969,1,5,2,440,Normal,WD,TA,TA,TA,RL
372402,5,2007,2008,436.0,1710,1710,1710,2,6,3,866,Partial,New,Gd,Ex,Gd,RL
190000,5,1971,1971,252.0,825,1097,1993,2,8,2,495,Normal,WD,TA,TA,TA,RL
235000,7,1960,1975,0.0,1602,1252,1252,1,4,2,564,Normal,WD,TA,Gd,TA,RL
125000,5,1923,1950,0.0,1200,1200,1200,1,7,1,312,Family,WD,TA,TA,TA,RM
79000,5,1924,1950,0.0,572,572,1096,1,5,0,0,Normal,WD,TA,TA,TA,RL
109500,7,1950,1950,0.0,0,1040,1040,1,5,2,625,Normal,WD,TA,None,TA,RL
269500,5,2009,2010,84.0,774,774,1968,2,8,3,680,Partial,New,Ex,Ex,Gd,RL
254900,5,2004,2005,0.0,991,991,1947,2,8,2,678,Normal,WD,Gd,Gd,Gd,FV
320000,5,2005,2006,456.0,1392,1392,2462,2,9,2,576,Partial,New,Gd,Gd,Gd,RL
162500,6,1984,1984,0.0,1232,1232,1232,2,6,2,516,Normal,WD,TA,Gd,TA,RL
412500,5,2003,2004,664.0,1572,1572,2668,2,10,3,726,Normal,WD,Ex,Ex,Gd,RL
220000,5,2005,2005,226.0,1541,1541,1541,2,7,2,532,Partial,New,Gd,Gd,Gd,RL
103200,6,1956,1956,0.0,882,882,882,1,4,0,0,Normal,WD,TA,TA,TA,RL
152000,7,1926,2004,0.0,1149,1149,1616,2,5,1,216,Normal,WD,Gd,TA,TA,RM
127500,7,1940,1999,0.0,644,808,1355,2,6,0,0,Normal,WD,TA,TA,TA,RL
190000,5,1955,1993,0.0,1617,1867,1867,1,7,1,303,Normal,COD,TA,TA,Gd,RL
325624,5,2007,2007,300.0,1582,1610,2161,1,8,3,789,Partial,New,Ex,Ex,Gd,RL
183500,5,2004,2004,0.0,840,840,1720,2,7,2,440,Normal,WD,Gd,Gd,Gd,RL
228000,6,1981,1981,653.0,1686,1707,1707,2,6,2,511,Normal,WD,TA,Gd,Gd,RL
128500,6,1941,1950,0.0,720,854,1382,1,7,2,660,Normal,WD,TA,TA,TA,RM
215000,5,1960,1960,112.0,1080,1656,1656,1,7,2,528,Normal,WD,TA,TA,TA,RL
239000,7,1987,1987,0.0,1064,1064,1767,2,5,2,504,Normal,WD,Gd,Gd,Gd,RL
163000,5,1961,1961,491.0,1362,1362,1362,1,6,2,504,Normal,COD,TA,TA,TA,RL
184000,5,1986,1986,132.0,1606,1651,1651,2,7,2,616,Normal,WD,TA,Gd,TA,RL
243000,7,1950,2001,0.0,1202,2158,2158,2,7,2,576,Normal,WD,Gd,TA,TA,RL
211000,5,1988,1989,268.0,1151,1164,2060,2,8,2,521,Normal,WD,TA,Gd,Gd,RL
172500,5,1958,1958,0.0,1052,1252,1920,2,8,2,451,Normal,WD,Gd,TA,Gd,RL
501837,5,2008,2009,748.0,2216,2234,2234,2,9,3,1166,Partial,New,Ex,Ex,Ex,RL
100000,6,1923,2006,0.0,968,968,968,1,5,2,480,Normal,WD,TA,TA,Gd,RM
177000,5,2000,2000,456.0,756,769,1525,2,5,2,440,Normal,WD,Gd,Gd,Gd,FV
200100,6,1920,1950,0.0,793,901,1802,1,9,1,216,Normal,WD,TA,Fa,TA,RL
120000,6,1957,2006,98.0,0,1340,1340,1,7,1,252,Normal,WD,TA,None,TA,RL
200000,5,2003,2003,0.0,1362,1362,2082,2,6,2,484,Normal,WD,Gd,Gd,TA,RM
127000,8,1908,1991,0.0,504,936,1252,1,5,2,576,Normal,WD,TA,Fa,TA,RL
475000,9,1892,1993,0.0,1107,1518,3608,2,12,3,840,Normal,WD,Ex,TA,Gd,RM
173000,5,1990,1991,0.0,1188,1217,1217,2,6,2,497,Normal,WD,Gd,Gd,TA,RL
135000,7,1916,1987,0.0,660,808,1656,2,8,1,180,Normal,WD,TA,Fa,TA,RL
153337,5,1979,1979,275.0,1086,1224,1224,0,6,2,528,Alloca,WD,TA,Gd,TA,RL
286000,5,2001,2002,0.0,1593,1593,1593,1,5,2,682,Normal,WD,Ex,Ex,Gd,RL
315000,8,1932,1994,0.0,853,1549,2727,2,10,2,440,Normal,WD,Gd,Gd,Gd,RL
184000,9,1972,2004,138.0,725,725,1479,1,7,2,484,Normal,WD,Gd,TA,TA,RL
192000,5,1999,1999,0.0,1431,1431,1431,2,6,2,666,Normal,WD,Gd,Gd,Gd,RL
130000,5,2004,2004,50.0,970,970,1709,2,7,2,380,Normal,WD,Gd,Gd,Gd,RM
127000,7,1972,1972,0.0,864,864,864,1,5,1,352,Normal,WD,TA,TA,TA,RL
148500,6,1976,1976,0.0,855,855,1456,2,7,2,440,Normal,WD,TA,Gd,TA,RL
311872,5,2007,2007,205.0,1726,1726,1726,2,8,3,786,Partial,New,Ex,Ex,Ex,RL
235000,4,1918,1990,0.0,1360,1360,3112,2,8,2,795,Abnorml,WD,Gd,TA,Gd,RL
104000,6,1912,1950,0.0,755,929,2229,1,8,0,0,Abnorml,WD,TA,TA,TA,RM
274900,5,2004,2005,262.0,1713,1713,1713,2,7,3,856,Normal,WD,Ex,Ex,Gd,RL
140000,5,2003,2004,0.0,1121,1121,1121,2,5,2,440,Normal,WD,TA,Gd,TA,RM
171500,6,1977,1977,0.0,1196,1279,1279,2,6,2,473,Normal,WD,TA,TA,TA,RL
112000,6,1924,1950,0.0,617,865,1310,2,6,1,398,Normal,COD,TA,Fa,TA,RL
149000,5,2004,2004,205.0,848,848,848,1,3,2,420,Normal,WD,Gd,Gd,Gd,RM
110000,7,1947,1950,0.0,720,720,1284,1,5,1,240,Normal,WD,TA,TA,TA,RM
180500,5,1990,1990,0.0,1424,1442,1442,2,5,2,500,Normal,WD,TA,Gd,TA,RL
143900,5,1962,1962,0.0,1140,1696,1696,1,8,1,349,Normal,WD,TA,TA,TA,RL
141000,5,1960,1960,0.0,1100,1100,1100,1,6,1,312,Normal,WD,TA,TA,TA,RL
277000,5,1988,1989,128.0,1157,1180,2062,2,7,2,454,Normal,WD,TA,Gd,Gd,RL
145000,7,1964,1964,260.0,1092,1092,1092,1,6,2,504,Normal,WD,TA,Gd,TA,RL
98000,6,1925,1950,0.0,864,864,864,1,5,0,0,Normal,WD,TA,TA,TA,RL
186000,5,2009,2009,0.0,1212,1212,1212,2,6,2,460,Normal,WD,Gd,Gd,TA,RL
252678,5,2009,2009,0.0,900,932,1852,2,7,2,644,Partial,New,Gd,Gd,TA,FV
156000,5,1995,1995,0.0,990,990,990,1,5,2,576,Normal,WD,TA,Gd,TA,RL
161750,7,1977,1977,153.0,689,689,1392,1,6,1,299,Normal,WD,TA,Gd,TA,RL
134450,6,1957,1996,64.0,1070,1236,1236,1,6,1,447,Normal,WD,Gd,TA,TA,RL
210000,5,2004,2004,266.0,1436,1436,1436,2,8,2,484,Normal,WD,Gd,Gd,Gd,RL
107000,4,1925,1950,0.0,686,810,1328,1,8,1,210,Family,WD,TA,TA,TA,RM
311500,9,1939,2006,312.0,798,1137,1954,1,8,2,431,Normal,WD,Gd,TA,Gd,RL
167240,5,2005,2006,16.0,1248,1248,1248,2,5,2,438,Partial,New,Gd,Gd,Gd,RL
204900,5,2006,2006,0.0,1498,1498,1498,2,5,2,675,Partial,New,Gd,Gd,Gd,RL
200000,5,2002,2002,0.0,1010,1010,2267,2,8,2,390,Normal,ConLI,Gd,Gd,Gd,RL
179900,6,1975,1975,0.0,713,811,1552,2,6,2,434,Normal,WD,TA,Gd,TA,RL
97000,6,1971,1971,0.0,864,864,864,1,4,2,576,Abnorml,WD,TA,TA,TA,RL
386250,5,2003,2003,922.0,2392,2392,2392,2,8,3,968,Normal,WD,Ex,Ex,Ex,RL
112000,5,1971,1971,142.0,630,630,1302,2,6,1,280,Abnorml,COD,TA,TA,TA,RM
290000,5,1995,1995,290.0,1203,1214,2520,2,9,3,721,Abnorml,WD,Gd,Gd,Gd,RL
106000,6,1970,1970,127.0,483,483,987,1,5,1,280,Normal,WD,TA,TA,TA,RM
125000,5,1967,1967,0.0,912,912,912,1,5,1,336,Normal,WD,TA,TA,TA,RL
192500,5,2005,2006,16.0,1373,1555,1555,2,7,2,430,Normal,WD,Gd,Gd,Gd,RL
148000,6,1959,1959,220.0,1194,1194,1194,1,6,1,312,Normal,WD,TA,TA,TA,RL
403000,5,1995,1996,506.0,1462,1490,2794,2,9,3,810,Normal,WD,Ex,Gd,Gd,RL
94500,5,1972,1972,297.0,483,483,987,1,5,1,288,Normal,WD,TA,TA,TA,RM
128200,6,1976,1976,0.0,894,894,894,1,5,1,308,Normal,WD,TA,TA,TA,RL
216500,5,2002,2002,0.0,860,860,1960,2,8,2,440,Normal,WD,Gd,Gd,Gd,RL
89500,3,1971,1971,604.0,483,483,987,1,5,1,264,Normal,WD,TA,TA,TA,RM
185500,5,2004,2004,98.0,1414,1414,1414,2,6,2,494,Normal,WD,Gd,Gd,Gd,RL
194500,7,1993,2003,0.0,996,1014,1744,2,7,2,457,Normal,WD,Gd,Gd,Gd,RL
318000,5,2007,2007,254.0,1694,1694,1694,2,7,3,818,Partial,New,Gd,Ex,Ex,RL
113000,4,1945,1950,0.0,735,798,1487,1,7,1,220,Normal,WD,TA,TA,TA,RL
262500,5,2008,2008,36.0,1566,1566,1566,2,7,2,750,Normal,WD,Gd,Gd,Gd,FV
110500,9,1945,1997,0.0,686,866,866,1,4,0,0,Normal,WD,Gd,TA,TA,RM
79000,4,1900,1950,0.0,540,889,1440,1,6,1,352,Normal,WD,TA,TA,TA,RM
120000,6,1980,1980,0.0,626,626,1217,1,6,1,288,Normal,WD,TA,Gd,TA,RL
205000,5,1994,2002,0.0,948,1222,2110,2,8,2,463,Normal,WD,Gd,Gd,Gd,RL
241500,5,1988,1988,102.0,1845,1872,1872,2,6,2,604,Normal,WD,TA,Gd,TA,RL
137000,8,1910,1950,0.0,1020,908,1928,2,9,1,440,Normal,WD,Fa,Fa,TA,RM
140000,5,1954,1954,0.0,1367,1375,1375,1,5,2,451,Normal,WD,TA,TA,TA,RL
180000,5,2003,2003,101.0,840,840,1668,2,8,2,500,Normal,WD,Gd,Gd,Gd,RL
277000,7,1958,2006,472.0,1444,1444,2144,2,7,2,389,Normal,WD,Gd,Gd,Gd,RL
76500,2,1940,1966,0.0,728,1306,1306,1,6,0,0,Normal,WD,Fa,TA,TA,RL
235000,5,2006,2007,481.0,1573,1625,1625,2,5,2,538,Family,WD,Gd,Gd,Gd,RM
173000,5,2004,2004,0.0,798,798,1640,2,6,2,520,Normal,WD,Gd,Gd,Gd,RL
158000,7,1964,1991,108.0,1302,1302,1302,2,7,1,309,Normal,CWD,Gd,Gd,TA,RL
145000,6,1957,1957,0.0,1314,1314,1314,1,5,1,294,Normal,WD,TA,TA,TA,RL
230000,5,1999,1999,302.0,975,1005,2291,2,8,2,429,Normal,WD,Gd,Gd,Gd,RL
207500,5,2003,2003,0.0,864,864,1728,2,7,2,673,Normal,WD,Gd,Gd,Gd,FV
220000,5,2006,2006,180.0,1604,1604,1604,2,8,2,660,Abnorml,WD,Gd,Gd,Gd,RL
231500,5,2001,2001,172.0,963,963,1792,2,7,2,564,Normal,WD,Gd,Gd,Gd,RL
97000,5,1956,1956,0.0,0,882,882,1,4,1,308,Normal,WD,TA,None,TA,RM
176000,5,1962,1962,399.0,1362,1382,1382,1,6,2,884,Normal,WD,TA,TA,TA,RL
276000,5,2007,2007,270.0,1482,1482,2574,2,10,3,868,Partial,New,Ex,Ex,Gd,RL
151000,7,1977,1995,46.0,506,1212,1212,1,6,2,492,Normal,WD,TA,Gd,TA,RL
130000,7,1929,2001,0.0,926,926,1316,1,6,2,484,Normal,WD,TA,TA,TA,RM
73000,5,1925,2004,0.0,680,764,764,1,4,2,504,Normal,WD,TA,Fa,TA,RM
175500,6,1981,1981,210.0,1422,1422,1422,2,7,2,576,Normal,WD,Gd,Gd,TA,RL
185000,5,1997,1997,0.0,802,802,1511,2,8,2,413,Normal,WD,TA,Gd,TA,RL
